first_switched,duration_s,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,tcp_flags
1700000000,1.831,10.20.0.101,10.20.30.10,47669,443,6,16,16848,AP
1700000007,2.371,10.20.0.102,10.20.30.10,44009,53,17,37,19499,AP
1700000014,1.781,10.20.0.101,10.20.30.53,41564,443,6,24,14016,AP
1700000021,0.464,10.20.0.103,10.20.30.53,42369,80,6,39,11076,AP
1700000028,0.356,10.20.0.103,198.51.100.9,50814,80,6,20,11540,AP
1700000035,2.588,10.20.0.102,10.20.30.53,55459,443,6,12,11136,AP
1700000042,0.42,10.20.0.102,198.51.100.9,47182,53,17,24,5256,AP
1700000049,1.704,10.20.0.103,10.20.30.10,47414,80,6,39,34476,AP
1700000056,2.874,10.20.0.101,10.20.30.53,54086,443,6,17,14875,AP
1700000063,0.121,10.20.0.101,10.20.30.10,42424,53,17,9,11691,AP
1700000070,1.641,10.20.0.103,198.51.100.9,44668,80,6,38,41762,AP
1700000077,0.926,10.20.0.101,10.20.30.53,53577,80,6,39,42744,AP
1700000084,2.796,10.20.0.103,10.20.30.10,40332,80,6,11,9394,AP
1700000091,2.973,10.20.0.101,10.20.30.10,42276,123,17,36,49896,AP
1700000098,1.734,10.20.0.103,10.20.30.10,53538,443,6,37,26085,AP
1700000105,2.692,10.20.0.102,10.20.30.53,47142,123,17,25,18575,AP
1700000112,0.667,10.20.0.102,198.51.100.9,45548,53,17,31,27280,AP
1700000119,1.06,10.20.0.103,198.51.100.9,52169,53,17,37,11322,AP
1700000126,1.248,10.20.0.101,10.20.30.53,44576,80,6,37,35594,AP
1700000133,1.191,10.20.0.101,198.51.100.9,54067,80,6,14,13468,AP
1700000140,1.397,10.20.0.101,198.51.100.9,44177,443,6,16,22384,AP
1700000147,1.546,10.20.0.102,198.51.100.9,41563,443,6,38,34998,AP
1700000154,1.932,10.20.0.101,10.20.30.10,52346,443,6,14,1204,AP
1700000161,1.896,10.20.0.103,10.20.30.53,57407,443,6,37,17834,AP
1700000168,2.72,10.20.0.103,198.51.100.9,42330,443,6,22,30668,AP
1700000175,0.544,10.20.0.103,10.20.30.53,59975,80,6,27,11151,AP
1700000182,2.82,10.20.0.102,198.51.100.9,48959,443,6,7,2142,AP
1700000189,1.668,10.20.0.102,198.51.100.9,44427,53,17,23,21919,AP
1700000196,2.0,10.20.0.103,198.51.100.9,57376,123,17,32,30368,AP
1700000203,2.787,10.20.0.101,10.20.30.53,52555,443,6,37,7807,AP
1700000210,2.039,10.20.0.102,10.20.30.53,40532,123,17,35,42875,AP
1700000217,0.255,10.20.0.103,198.51.100.9,54756,443,6,16,21936,AP
1700000224,2.731,10.20.0.103,198.51.100.9,50772,123,17,23,23828,AP
1700000231,1.622,10.20.0.102,198.51.100.9,40434,443,6,39,16614,AP
1700000238,2.534,10.20.0.102,10.20.30.53,59967,123,17,24,6192,AP
1700000245,2.844,10.20.0.101,198.51.100.9,53271,80,6,4,884,AP
1700000252,1.193,10.20.0.103,10.20.30.53,52466,123,17,29,34829,AP
1700000259,0.085,10.20.0.101,10.20.30.10,57899,443,6,12,2652,AP
1700000266,0.075,10.20.0.103,198.51.100.9,52052,443,6,14,15526,AP
1700000273,0.612,10.20.0.103,198.51.100.9,56350,443,6,37,25641,AP
1700000600,0.02,10.20.0.102,10.20.30.53,40000,53,17,2,196,.
1700000630,0.02,10.20.0.102,10.20.30.53,40001,53,17,2,196,.
1700000660,0.02,10.20.0.102,10.20.30.53,40002,53,17,2,196,.
1700000690,0.02,10.20.0.102,10.20.30.53,40003,53,17,2,196,.
1700000720,0.02,10.20.0.102,10.20.30.53,40004,53,17,2,196,.
1700000750,0.02,10.20.0.102,10.20.30.53,40005,53,17,2,196,.
1700000780,0.02,10.20.0.102,10.20.30.53,40006,53,17,2,196,.
1700000810,0.02,10.20.0.102,10.20.30.53,40007,53,17,2,196,.
1700000840,0.02,10.20.0.102,10.20.30.53,40008,53,17,2,196,.
1700000870,0.02,10.20.0.102,10.20.30.53,40009,53,17,2,196,.
1700000900,0.02,10.20.0.102,10.20.30.53,40010,53,17,2,196,.
1700000930,0.02,10.20.0.102,10.20.30.53,40011,53,17,2,196,.
1700000960,0.02,10.20.0.102,10.20.30.53,40012,53,17,2,196,.
1700000990,0.02,10.20.0.102,10.20.30.53,40013,53,17,2,196,.
1700001020,0.02,10.20.0.102,10.20.30.53,40014,53,17,2,196,.
1700001050,0.02,10.20.0.102,10.20.30.53,40015,53,17,2,196,.
1700001080,0.02,10.20.0.102,10.20.30.53,40016,53,17,2,196,.
1700001110,0.02,10.20.0.102,10.20.30.53,40017,53,17,2,196,.
1700001140,0.02,10.20.0.102,10.20.30.53,40018,53,17,2,196,.
1700001170,0.02,10.20.0.102,10.20.30.53,40019,53,17,2,196,.
1700001200,0.02,10.20.0.102,10.20.30.53,40020,53,17,2,196,.
1700001230,0.02,10.20.0.102,10.20.30.53,40021,53,17,2,196,.
1700001260,0.02,10.20.0.102,10.20.30.53,40022,53,17,2,196,.
1700001290,0.02,10.20.0.102,10.20.30.53,40023,53,17,2,196,.
1700000301,0.001,10.20.0.66,10.20.30.10,20021,21,6,1,60,S
1700000302,0.001,10.20.0.66,10.20.30.10,20022,22,6,1,60,S
1700000303,0.001,10.20.0.66,10.20.30.10,20023,23,6,1,60,S
1700000300,0.001,10.20.0.66,10.20.30.10,20025,25,6,1,60,S
1700000300,0.001,10.20.0.66,10.20.30.10,20080,80,6,1,60,S
1700000300,0.001,10.20.0.66,10.20.30.10,20110,110,6,1,60,S
1700000300,0.001,10.20.0.66,10.20.30.10,20135,135,6,1,60,S
1700000304,0.001,10.20.0.66,10.20.30.10,20139,139,6,1,60,S
1700000303,0.001,10.20.0.66,10.20.30.10,20443,443,6,1,60,S
1700000300,0.001,10.20.0.66,10.20.30.10,20445,445,6,1,60,S
1700000303,0.001,10.20.0.66,10.20.30.10,21433,1433,6,1,60,S
1700000301,0.001,10.20.0.66,10.20.30.10,23306,3306,6,1,60,S
1700000304,0.001,10.20.0.66,10.20.30.10,23389,3389,6,1,60,S
1700000300,0.001,10.20.0.66,10.20.30.10,25900,5900,6,1,60,S
1700000300,0.001,10.20.0.66,10.20.30.10,28080,8080,6,1,60,S
